stratum,sentence,label,pred_full,score_full,epi_pred_label,error_category,note
high_conf_FN,"H.I.H. Prince Diego Romay-Basail de Habsburg-Gueroust (2005-07), Prince of Hapsburg-Gueroust",1,0,0.0020224738,Opinion,,
high_conf_FN,"The two finally ""find"" the American Dream in the form of a seedy diner in a poor neighborhood of North Las Vegas, juxtaposed against the towering casinos and hotels the city is known for.",1,0,0.0023642832,Background,,
high_conf_FN,"Odd Thomas's life is flipped upside-down we he comes across a stranger at midnight in the restaurant at which he works, and begins to believe that the man is connected to an apocalyptic catalyst.",1,0,0.0030291292,Opinion,,
high_conf_FN,Shooting Straight: Telling the Truth About Guns in America (2002),1,0,0.0037633323,Background,,
high_conf_FN,"Horace Mann (May 4, 1796 – August 2, 1859) was an American education reformer and abolitionist.",1,0,0.005966372,Background,,
high_conf_FN,"Vjera u Boga i hrvatska sloga (Croatian, Trust in God and Croatian unity)",1,0,0.008011698,Opinion,,
high_conf_FN,"Located in Oakland, California, the Cathedral Building was the first Gothic Style building west of the Mississippi River.",1,0,0.009284219,Background,,
high_conf_FN,"The April 2008 Gippsland by-election, resulting from the resignation of the former Howard minister and Nationals MP Peter McGauran, saw the Nationals' Darren Chester retain the seat with a 6 per cent margin increase.",1,0,0.009639113,Background,,
high_conf_FN,"Peter-Hans Kolvenbach, S.J., S.T.D. (born in Druten, 30 November, 1928), was the 29th Superior General of the Society of Jesus, the largest religious order of the Catholic Church.",1,0,0.012934091,Background,,
high_conf_FN,"In the scriptural canon of the Mormon Church, one reference to sanctification appears in Helaman 3:35, in the Book of Mormon::Nevertheless they did fast and pray oft, and did wax stronger and stronger in their humility, and firmer and firmer in the faith of Christ, unto the filling their souls with joy and consolation, yea, even to the purifying and the sanctification of their hearts, which sanctification cometh because of their yielding their hearts unto God.",1,0,0.014523091,Claim,,
high_conf_FN,"The first developmental stage after hatching is a planktonic larva (1 mm) called the zoea that develops into a postlarva (megalopa), and finally a juvenile.",1,0,0.016250188,Background,,
high_conf_FN,Arc - A dialect of Lisp being developed by Paul Graham.,1,0,0.017644934,Background,,
high_conf_FN,Accommodation for foreign exchange students are located in the Seminar Houses.,1,0,0.024139222,Background,,
high_conf_FN,"The most important possession of the abbey was the castle of Montalcino, which was the residence of the abbot.",1,0,0.027401257,Evidence,,
high_conf_FN,Wee were forced to runne her ashore (by reason of her leake) under a point that bore South East from the Northerne Point of the Island which wee discovered first on the eighth and twentieth of July 1609.,1,0,0.03055532,Background,,
low_conf_FP,"The Thomson Corporation announced its desire to sell Prometric in the fall of 2006, and the Educational Testing Service announced its plans to acquire it.",0,1,0.5010521,Evidence,,
low_conf_FP,European countries are increasing punishment for giving away or missing passports.,0,1,0.5110034,Claim,,
low_conf_FP,"It is unlikely as numerous real world locations, including New York and California, are referenced in Red Dead Redemption, neither of which exist under those names in the GTA universe.",0,1,0.51395375,Background,,
low_conf_FP,Ode to Joy is adopted as the anthem of both the European Union and the Council of Europe.,0,1,0.51541156,Background,,
low_conf_FP,She has also drawn the sleeve of Sound of Sunforest.,0,1,0.518844,Background,,
low_conf_FP,"According to Yogananda in his first edition of his Autobiography in reference to the ancient swami order, “because it is a formal order… no one can give himself the title of swami.”",0,1,0.5197308,Evidence,,
low_conf_FP,This revolutionary tendency was defeated by an alliance of predominantly rural and proletarian Islamists.,0,1,0.5225153,Background,,
low_conf_FP,"Brion later clarified the status of the album in an interview with MTV News in January 2005: he said that Epic had desired material in the vein of Apple's hit debut album Tidal (1996), but that when confronted by Machine, ""it's just not the obvious easy sell to them"".",0,1,0.5232291,Evidence,,
low_conf_FP,"Not to be confused with Haddad, the Semitic surname meaning ""Smith"".",0,1,0.52582026,Background,,
low_conf_FP,"There are only about 12 Alaskas in the whole world all which require the love of humanity to save them from extinction!!! Scientists and archeologists have found 30,392 fossilized Alaskas near the Australian coast line.",0,1,0.52878535,Claim,,
low_conf_FP,The remainder of the Earl Street brewery was demolished in 1980.,0,1,0.5334299,Evidence,,
low_conf_FP,"The daughter of William King Swartz and his wife Carrie Teale, he attended Mount Holyoke College, where she took her bachelor of arts degree in 1925 magna cum laude.",0,1,0.5371834,Background,,
low_conf_FP,"The first recorded ""foot of the fine"" is endorsed with the statement ""This is the first chirograph that was made in the king's court in the form of three chirographs, according to the command of his lordship of Canterbury and other barons of the king, to the end that by this form a record can be made to be passed on to the treasurer to put in the treasury.""",0,1,0.5372518,Background,,
low_conf_FP,The Khan al-Umdan is the largest and best preserved Ottoman inn in Israel.,0,1,0.54117197,Evidence,,
low_conf_FP,"The Moscow Ring Railway will be fully integrated into Moscow Metro as far as the fare payment is concerned; the same payment cards can be used on both systems, and free transfers will be possible.",0,1,0.54155797,Evidence,,
low_conf_FP,The Sentosa Monorail circled Sentosa until it closed in 2005.,0,1,0.54493195,Background,,
low_conf_FP,"The Uskoci and Šaranci clans are also regarded as part of, or kin to, the Drobnjaci.",0,1,0.545728,Background,,
low_conf_FP,"In 1881 the Boundary Treaty between Chile and Argentina was signed, which defined the limit of both countries in the Andes mountain range up to the 52nd parallel.",0,1,0.5492045,Background,,
low_conf_FP,Paul Wunderlich married photographer Karin Székessy in 1971 and the couple have some art projects together.,0,1,0.5494326,Evidence,,
low_conf_FP,The date of the schism between Samaritans and Jews is unknown.,0,1,0.54947066,Background,,
low_conf_FN,It is also the Saxon name for a marsh that may have existed in the bottom valley.,1,0,0.4999826,Background,,
low_conf_FN,"It includes many well-known genera such as Bacillus, Listeria, Staphylococcus, Streptococcus, Enterococcus, and Clostridium.",1,0,0.4973203,Background,,
low_conf_FN,"The original parcels service started with the advent of the railways and these were operated by the railway companies, with nationalisation the Red Star Parcel operation was born within British Rail.",1,0,0.49365613,Evidence,,
low_conf_FN,He has sought to bring more transparency to the system as well as to shore up the fund's approximately $22 billion unfunded liability .,1,0,0.4901727,Evidence,,
low_conf_FN,"The authors conclude by stating that ""this report suggests that, because of the potentially dire consequences, the risk of abrupt climate change, although uncertain and quite possibly small, should be elevated beyond a scientific debate to a U.S. national security concern.""",1,0,0.48918882,Background,,
low_conf_FN,"Latham's commitment to withdraw from Iraq caused a sharp drop in Labor's lead, but following the revelations of prisoner abuse in the Abu Ghraib prison, Labor's lead increased again, suggesting that support for involvement in Iraq had declined, undermining Howard's position.",1,0,0.48084554,Background,,
low_conf_FN,"The carts are provided in airports, large bus stations, hotels, or train stations for transporting luggage and may be free of charge.",1,0,0.47956607,Evidence,,
low_conf_FN,"She attended the University of North Carolina School of the Arts, and after graduating moved to New York City.",1,0,0.47728825,Background,,
low_conf_FN,"In 2011, an iPhone application became available in the Apple AppStore, and in 2012, an iPad version was made available, as well.",1,0,0.47654456,Evidence,,
low_conf_FN,It was established by French investors in 1959 under the name Banque Internationale pour l'Afrique Occidentale (BAIO).,1,0,0.4627758,Evidence,,
low_conf_FN,Obtaining eight or more points will result in a suspension of the driving licence; once suspend the licences will only reinstated after a psychological assessment following the ban.,1,0,0.45999193,Claim,,
low_conf_FN,"In an elaboration of another of the major motifs of the Kosovo legend, that of the purity of Serbian motives, he asserted that""Serbs have never in the whole of their history conquered and exploited others. Their national and historical being has been liberational throughout the whole of history and through two world wars, as it is today. They liberated themselves and when they could they also helped others to liberate themselves.""",1,0,0.449346,Claim,,
low_conf_FN,It is believed that he also contributed by playing leads and/our writing additional parts like on 1-800 Vindication,1,0,0.43403077,Opinion,,
low_conf_FN,"Simko Shikak RevoltPart of 1921 Persian coup d'état, Kurdish movement in Iran and Assyrian genocide250pxSimko (center)Date1919 to 1922LocationNorth-Western IranResult",1,0,0.42800978,Background,,
low_conf_FN,"Rather than finalize their belongings, the settlers dropped and left everything, making their way to the Sabine River and safety in the United States.",1,0,0.42667335,Evidence,,
low_conf_FN,"Similarly, the teaching quality of a university professor may decline as he or she gets older, leading to a situation in which the quality of the professor's teaching is inadequate; yet, due to the professor's tenured status, the university may have difficulty removing him or her from the position.",1,0,0.41767132,Claim,,
low_conf_FN,"According to the 2011 census, there are 53 million-plus cities in India; among them Mumbai, Delhi, Bangalore, Hyderabad, Chennai, Ahmedabad, Pune and Kolkata are in order of the most populous metropolitan areas.",1,0,0.41508004,Evidence,,
low_conf_FN,"When world peace is threatened by the emergence of a terrorist group called the Black Cross Army, a peacekeeping organization called EAGLE (for Earth Guard League) is formed by the United Nations to combat the threat.",1,0,0.4093841,Claim,,
low_conf_FN,"Some well known composers in the western world include Kamal Uddin, Labbayk, Abdullah Rolle, Naseeha and Musa Yasin amongst others.",1,0,0.406565,Evidence,,
low_conf_FN,"By 1940 there were over 40,00 patients in public mental hospitals and around 90 percent of them were in large state funded ones.",1,0,0.40496224,Background,,
